Item,Start Date ,Start Time,End Date,End Time,Component,Description,"Duration of Downtime
,15-May,12:40,15-May,14:03,MB6,Insulation failure,1:23:00,,,,
,16-May,12:41,16-May,12:42,MA5,Insulation failure,0:01:00,,,,
,16-May,13:02,16-May,13:06,MB4,Insulation failure,0:04:00,,,,
,17-May,7:06,17-May,7:27,MA3,Insulation failure,0:21:00,,,,
,17-May,7:10,17-May,7:39,MA4,Insulation failure,0:29:00,,,,
,17-May,7:24,17-May,7:52,MC6,Insulation failure,0:28:00,,,,
,17-May,8:45,17-May,9:13,MC2,Insulation failure,0:28:00,,,,
,17-May,8:45,17-May,9:13,MC6,Insulation failure,0:28:00,,,,
,17-May,8:46,17-May,9:14,MB2,Insulation failure,0:28:00,,,,
,17-May,8:51,17-May,9:19,MD5,Insulation failure,0:28:00,,,,
,17-May,9:02,17-May,9:29,MA3,Insulation failure,0:27:00,,,,
,17-May,9:23,17-May,9:31,MD5,Insulation failure,0:08:00,,,,
,17-May,9:56,17-May,10:03,MA3,Insulation failure,0:07:00,,,,
,17-May,10:01,17-May,10:29,MB5,Insulation failure,0:28:00,,,,
,17-May,10:41,17-May,10:44,MB5,Insulation failure,0:03:00,,,,
,17-May,10:49,17-May,11:00,MB2,Insulation failure,0:11:00,,,,
,17-May,11:59,17-May,12:00,MD5,Insulation failure,0:01:00,,,,
,17-May,12:16,17-May,12:34,MD1,Insulation failure,0:18:00,,,,
,17-May,13:29,17-May,13:56,MD1,Insulation failure,0:27:00,,,,
,18-May,8:21,18-May,8:29,MB2,Insulation failure,0:08:00,,,,
,18-May,8:46,18-May,8:56,MC4,Insulation failure,0:10:00,,,,
,18-May,8:51,18-May,8:52,MB2,Insulation failure,0:01:00,,,,
,18-May,17:19,18-May,17:27,MB2,Insulation failure,0:08:00,,,,
,18-May,17:38,18-May,17:40,MB2,Insulation failure,0:02:00,,,,
,19-May,9:29,19-May,9:53,MB2,Insulation failure,0:24:00,,,,
,19-May,10:11,19-May,10:39,MB2,Insulation failure,0:28:00,,,,
,19-May,12:14,19-May,12:17,MD5,Insulation failure,0:03:00,,,,
,19-May,12:22,19-May,12:35,MD5,Insulation failure,0:13:00,,,,
,19-May,16:23,19-May,16:51,MB4,Insulation failure,0:28:00,,,,
,20-May,7:27,20-May,7:34,MB6,Insulation failure,0:07:00,,,,
,21-May,12:25,21-May,13:19,MB6,Insulation failure,0:54:00,,,,
,22-May,7:18,22-May,7:51,MC6,Insulation failure,0:33:00,,,,
,22-May,7:24,22-May,7:50,MA6,Insulation failure,0:26:00,,,,
,22-May,7:32,22-May,7:52,MB6,Insulation failure,0:20:00,,,,
,22-May,7:46,22-May,7:49,MD2,Insulation failure,0:03:00,,,,
,22-May,7:55,22-May,7:57,MB6,Insulation failure,0:02:00,,,,
,22-May,8:03,22-May,8:07,MD2,Insulation failure,0:04:00,,,,
,22-May,8:28,22-May,8:31,MD2,Insulation failure,0:03:00,,,,
,22-May,8:41,22-May,8:42,MB6,Insulation failure,0:01:00,,,,
,22-May,9:01,22-May,9:03,MD2,Insulation failure,0:02:00,,,,
,22-May,9:12,22-May,9:17,MD2,Insulation failure,0:05:00,,,,
,22-May,9:17,22-May,9:18,MB4,Insulation failure,0:01:00,,,,
,22-May,9:46,22-May,9:48,MD2,Insulation failure,0:02:00,,,,
,22-May,9:51,22-May,10:18,MB4,Insulation failure,0:27:00,,,,
,22-May,9:56,22-May,10:21,MC6,Insulation failure,0:25:00,,,,
,22-May,10:07,22-May,10:20,MD6,Insulation failure,0:13:00,,,,
,22-May,10:09,22-May,10:28,MB6,Insulation failure,0:19:00,,,,
,22-May,10:15,22-May,10:20,MD2,Insulation failure,0:05:00,,,,
,22-May,10:25,22-May,11:03,MC6,Insulation failure,0:38:00,,,,
,22-May,10:39,22-May,10:49,MB6,Insulation failure,0:10:00,,,,
,22-May,10:40,22-May,10:49,MD2,Insulation failure,0:09:00,,,,
,23-May,7:21,23-May,7:31,MD6,Insulation failure,0:10:00,,,,
,23-May,7:30,23-May,7:33,MD2,Insulation failure,0:03:00,,,,
,23-May,8:01,23-May,8:05,MB1,Insulation failure,0:04:00,,,,
,23-May,8:06,23-May,8:17,MD2,Insulation failure,0:11:00,,,,
,27-May,7:52,27-May,7:54,MD2,Insulation failure,0:02:00,,,,
,27-May,8:14,27-May,8:15,MB5,Insulation failure,0:01:00,,,,
,2-Jun,7:53,2-Jun,8:22,MB1,Insulation failure,0:29:00,,,,
,2-Jun,19:04,2-Jun,19:11,MB1,Insulation failure,0:07:00,,,,
,3-Jun,7:52,3-Jun,7:57,MC2,Insulation failure,0:05:00,,,,
,4-Jun,9:13,4-Jun,9:42,MB6,Insulation failure,0:29:00,,,,
,4-Jun,16:00,4-Jun,16:01,MB4,Insulation failure,0:01:00,,,,
,4-Jun,16:03,4-Jun,16:10,MB1,Insulation failure,0:07:00,,,,
,4-Jun,18:49,4-Jun,18:52,MB6,Insulation failure,0:03:00,,,,
,4-Jun,18:55,4-Jun,19:23,MB6,Insulation failure,0:28:00,,,,
,5-Jun,7:15,5-Jun,7:42,MB6,Insulation failure,0:27:00,,,,
,5-Jun,7:25,5-Jun,7:42,MB1,Insulation failure,0:17:00,,,,
,5-Jun,7:47,5-Jun,7:49,MB6,Insulation failure,0:02:00,,,,
,5-Jun,7:48,5-Jun,7:50,MB4,Insulation failure,0:02:00,,,,
,5-Jun,8:36,5-Jun,8:45,MB6,Insulation failure,0:09:00,,,,
,6-Jun,7:11,6-Jun,7:32,MB6,Insulation failure,0:21:00,,,,
,6-Jun,7:42,6-Jun,8:11,MB1,Insulation failure,0:29:00,,,,
,6-Jun,14:12,6-Jun,14:20,MB3,Insulation failure,0:08:00,,,,
,6-Jun,14:14,6-Jun,14:39,MA6,Insulation failure,0:25:00,,,,
,6-Jun,14:26,6-Jun,14:28,MA4,Insulation failure,0:02:00,,,,
,6-Jun,14:29,6-Jun,14:31,MC2,Insulation failure,0:02:00,,,,
,6-Jun,14:33,6-Jun,14:35,MC2,Insulation failure,0:02:00,,,,
,6-Jun,14:39,6-Jun,14:58,MD5,Insulation failure,0:19:00,,,,
,6-Jun,15:02,6-Jun,15:06,MA2,Insulation failure,0:04:00,,,,
,6-Jun,15:02,6-Jun,15:13,MC2,Insulation failure,0:11:00,,,,
,6-Jun,15:06,6-Jun,15:58,MA5,Insulation failure,0:52:00,,,,
,6-Jun,15:07,6-Jun,15:15,MD6,Insulation failure,0:08:00,,,,
,6-Jun,15:12,6-Jun,15:25,MB4,Insulation failure,0:13:00,,,,
,6-Jun,15:14,6-Jun,15:18,MD5,Insulation failure,0:04:00,,,,
,6-Jun,15:16,6-Jun,15:26,MD3,Insulation failure,0:10:00,,,,
,6-Jun,15:21,6-Jun,15:34,MB2,Insulation failure,0:13:00,,,,
,6-Jun,15:23,6-Jun,16:05,MD5,Insulation failure,0:42:00,,,,
,6-Jun,15:30,6-Jun,15:32,MA6,Insulation failure,0:02:00,,,,
,6-Jun,15:31,6-Jun,15:42,MD2,Insulation failure,0:11:00,,,,
,6-Jun,15:33,6-Jun,15:37,MD2,Insulation failure,0:04:00,,,,
,6-Jun,15:38,6-Jun,15:39,MD1,Insulation failure,0:01:00,,,,
,6-Jun,15:40,6-Jun,15:43,MA6,Insulation failure,0:03:00,,,,
,6-Jun,15:44,6-Jun,15:47,MC2,Insulation failure,0:03:00,,,,
,6-Jun,15:48,6-Jun,15:50,MB1,Insulation failure,0:02:00,,,,
,6-Jun,15:49,6-Jun,15:51,MD1,Insulation failure,0:02:00,,,,
,6-Jun,15:50,6-Jun,15:52,MA3,Insulation failure,0:02:00,,,,
,6-Jun,15:53,6-Jun,16:00,MC2,Insulation failure,0:07:00,,,,
,6-Jun,16:01,6-Jun,16:03,MA3,Insulation failure,0:02:00,,,,
,6-Jun,16:03,6-Jun,16:04,MC2,Insulation failure,0:01:00,,,,
,6-Jun,16:03,6-Jun,16:08,MD1,Insulation failure,0:05:00,,,,
,6-Jun,16:07,6-Jun,18:00,MD2,Insulation failure,1:53:00,,,,
,6-Jun,16:11,6-Jun,16:15,MD6,Insulation failure,0:04:00,,,,
,6-Jun,16:13,6-Jun,16:14,MD5,Insulation failure,0:01:00,,,,
,6-Jun,16:17,6-Jun,16:21,MD6,Insulation failure,0:04:00,,,,
,6-Jun,16:23,6-Jun,16:25,MD1,Insulation failure,0:02:00,,,,
,6-Jun,16:23,6-Jun,16:24,MD5,Insulation failure,0:01:00,,,,
,6-Jun,16:26,6-Jun,16:36,MD5,Insulation failure,0:10:00,,,,
,6-Jun,16:27,6-Jun,16:29,MA6,Insulation failure,0:02:00,,,,
,6-Jun,16:27,6-Jun,16:28,MC2,Insulation failure,0:01:00,,,,
,6-Jun,16:37,6-Jun,16:43,MC2,Insulation failure,0:06:00,,,,
,6-Jun,16:43,6-Jun,16:45,MD5,Insulation failure,0:02:00,,,,
,6-Jun,16:47,6-Jun,16:50,MC2,Insulation failure,0:03:00,,,,
,6-Jun,16:55,6-Jun,17:23,MD5,Insulation failure,0:28:00,,,,
,6-Jun,17:00,6-Jun,17:25,MA6,Insulation failure,0:25:00,,,,
,6-Jun,17:03,6-Jun,17:26,MD1,Insulation failure,0:23:00,,,,
,6-Jun,17:13,6-Jun,17:25,MC2,Insulation failure,0:12:00,,,,
,6-Jun,17:26,6-Jun,17:55,MD5,Insulation failure,0:29:00,,,,
,6-Jun,17:59,6-Jun,18:01,MD5,Insulation failure,0:02:00,,,,
,6-Jun,18:06,6-Jun,18:10,MD5,Insulation failure,0:04:00,,,,
,6-Jun,18:14,6-Jun,18:19,MD5,Insulation failure,0:05:00,,,,
,6-Jun,18:27,6-Jun,18:34,MD5,Insulation failure,0:07:00,,,,
,6-Jun,18:38,6-Jun,19:18,MD5,Insulation failure,0:40:00,,,,
,7-Jun,7:31,7-Jun,7:33,MD5,Insulation failure,0:02:00,,,,
,7-Jun,7:37,7-Jun,7:41,MD1,Insulation failure,0:04:00,,,,
,7-Jun,7:43,7-Jun,7:45,MD5,Insulation failure,0:02:00,,,,
,7-Jun,7:47,7-Jun,8:03,MD6,Insulation failure,0:16:00,,,,
,7-Jun,8:03,7-Jun,8:04,MD5,Insulation failure,0:01:00,,,,
,7-Jun,8:04,7-Jun,8:08,MD1,Insulation failure,0:04:00,,,,
,7-Jun,8:13,7-Jun,8:31,MB2,Insulation failure,0:18:00,,,,
,7-Jun,8:20,7-Jun,8:27,MD6,Insulation failure,0:07:00,,,,
,7-Jun,8:37,7-Jun,8:40,MA6,Insulation failure,0:03:00,,,,
,7-Jun,8:41,7-Jun,8:45,MD6,Insulation failure,0:04:00,,,,
,7-Jun,19:06,7-Jun,19:26,MD1,Insulation failure,0:20:00,,,,
,8-Jun,7:41,8-Jun,7:52,MB1,Insulation failure,0:11:00,,,,
,8-Jun,8:44,8-Jun,8:54,MB1,Insulation failure,0:10:00,,,,
,8-Jun,9:55,8-Jun,10:06,MC4,Insulation failure,0:11:00,,,,
,8-Jun,12:11,8-Jun,12:21,MD1,Insulation failure,0:10:00,,,,
,8-Jun,12:27,8-Jun,12:29,MD1,Insulation failure,0:02:00,,,,
,8-Jun,12:33,8-Jun,13:01,MD1,Insulation failure,0:28:00,,,,
,9-Jun,8:42,9-Jun,10:01,MB2,Insulation failure,1:19:00,,,,
,10-Jun,11:07,10-Jun,11:18,MD2,Insulation failure,0:11:00,,,,
,11-Jun,7:02,11-Jun,7:21,MD3,Insulation failure,0:19:00,,,,
,11-Jun,8:06,11-Jun,8:14,MB3,Insulation failure,0:08:00,,,,
,12-Jun,7:03,12-Jun,7:26,MD3,Insulation failure,0:23:00,,,,
,12-Jun,7:41,12-Jun,7:46,MD4,Insulation failure,0:05:00,,,,
,12-Jun,7:56,12-Jun,8:13,MD3,Insulation failure,0:17:00,,,,
,12-Jun,7:59,12-Jun,8:46,MD4,Insulation failure,0:47:00,,,,
,13-Jun,7:15,13-Jun,7:43,MD3,Insulation failure,0:28:00,,,,
,13-Jun,7:22,13-Jun,7:52,MD4,Insulation failure,0:30:00,,,,
,13-Jun,8:38,13-Jun,8:52,MD4,Insulation failure,0:14:00,,,,
,14-Jun,14:12,14-Jun,14:41,MC4,Insulation failure,0:29:00,,,,
,14-Jun,15:30,14-Jun,15:33,MC4,Insulation failure,0:03:00,,,,
,14-Jun,15:51,14-Jun,17:15,MC4,Insulation failure,1:24:00,,,,
,15-Jun,10:23,15-Jun,10:51,MB3,Insulation failure,0:28:00,,,,
,15-Jun,13:34,15-Jun,14:04,MB3,Insulation failure,0:30:00,,,,
,15-Jun,15:26,15-Jun,15:35,MB3,Insulation failure,0:09:00,,,,
,15-Jun,15:47,15-Jun,15:55,MB3,Insulation failure,0:08:00,,,,
,17-Jun,9:04,17-Jun,9:07,MC4,Insulation failure,0:03:00,,,,
,17-Jun,14:12,17-Jun,14:40,MB6,Insulation failure,0:28:00,,,,
,18-Jun,7:06,18-Jun,7:34,MC6,Insulation failure,0:28:00,,,,
,20-Jun,8:22,20-Jun,8:52,MB1,Insulation failure,0:30:00,,,,
,20-Jun,8:28,20-Jun,8:43,MC3,Fast-stop DC Overcurrent triggerd,0:15:00,,,,
,20-Jun,8:49,20-Jun,9:10,MC3,Fast-stop DC Overcurrent triggerd,0:21:00,,,,
,20-Jun,9:12,20-Jun,11:27,MC3,Number of critical DC switching cycles reached,2:15:00,,,,
,21-Jun,7:11,21-Jun,7:39,MD2,Insulation failure,0:28:00,,,,
,21-Jun,7:35,21-Jun,7:49,MA2,Insulation failure,0:14:00,,,,
,21-Jun,7:56,21-Jun,8:11,MC5,Insulation failure,0:15:00,,,,
,21-Jun,8:29,21-Jun,9:19,MC5,Insulation failure,0:50:00,,,,
,21-Jun,9:35,21-Jun,9:56,MC5,Insulation failure,0:21:00,,,,
,21-Jun,1:56,21-Jun,1:58,MB1,Insulation failure,0:02:00,,,,
,23-Jun,7:29,23-Jun,7:50,MC2,Insulation failure,0:21:00,,,,
,23-Jun,8:58,23-Jun,9:27,MA2,Insulation failure,0:29:00,,,,
,25-Jun,7:22,25-Jun,7:43,MA6,Insulation failure,0:21:00,,,,
,25-Jun,8:17,25-Jun,8:22,MC2,Insulation failure,0:05:00,,,,
,26-Jun,8:12,26-Jun,8:15,MB2,Insulation failure,0:03:00,,,,
,26-Jun,9:25,26-Jun,9:34,MC2,Insulation failure,0:09:00,,,,
,27-Jun,8:03,27-Jun,8:12,MB1,Insulation failure,0:09:00,,,,
,27-Jun,12:08,27-Jun,12:14,MC5,Insulation failure,0:06:00,,,,
,27-Jun,12:52,27-Jun,13:17,MC5,Insulation failure,0:25:00,,,,
,27-Jun,18:26,27-Jun,18:54,MB2,Insulation failure,0:28:00,,,,
,27-Jun,18:28,27-Jun,18:57,MD3,Insulation failure,0:29:00,,,,
,28-Jun,7:20,28-Jun,7:38,MD3,Insulation failure,0:18:00,,,,
,28-Jun,7:32,28-Jun,7:37,MB3,Insulation failure,0:05:00,,,,
,28-Jun,7:43,28-Jun,8:00,MD3,Insulation failure,0:17:00,,,,
,28-Jun,7:56,28-Jun,8:19,MB3,Insulation failure,0:23:00,,,,
,28-Jun,8:23,28-Jun,8:33,MB3,Insulation failure,0:10:00,,,,
,28-Jun,9:19,28-Jun,9:36,MD3,Insulation failure,0:17:00,,,,
,28-Jun,13:22,28-Jun,13:30,MB2,Insulation failure,0:08:00,,,,
,28-Jun,14:26,28-Jun,14:35,MB2,Insulation failure,0:09:00,,,,
,28-Jun,14:51,28-Jun,15:12,MA4,Insulation failure,0:21:00,,,,
,28-Jun,15:51,28-Jun,16:00,MA5,Insulation failure,0:09:00,,,,
,28-Jun,15:55,28-Jun,16:00,MD3,Insulation failure,0:05:00,,,,
,29-Jun,7:14,29-Jun,7:35,MD3,Insulation failure,0:21:00,,,,
,29-Jun,7:45,29-Jun,7:46,MD3,Insulation failure,0:01:00,,,,
,29-Jun,8:18,29-Jun,8:31,MD3,Insulation failure,0:13:00,,,,
,29-Jun,8:19,29-Jun,8:27,MA5,Insulation failure,0:08:00,,,,
,29-Jun,8:36,29-Jun,8:46,MD3,Insulation failure,0:10:00,,,,
,29-Jun,8:55,29-Jun,9:24,MB5,Insulation failure,0:29:00,,,,
,29-Jun,12:18,29-Jun,12:59,MA6,Insulation failure,0:41:00,,,,
,30-Jun,7:10,30-Jun,7:31,MB3,Insulation failure,0:21:00,,,,
,30-Jun,7:35,30-Jun,7:51,MB3,Insulation failure,0:16:00,,,,
,30-Jun,7:36,30-Jun,7:37,MC6,Insulation failure,0:01:00,,,,
,30-Jun,8:03,30-Jun,8:09,MB2,Insulation failure,0:06:00,,,,
,30-Jun,8:12,30-Jun,8:32,MB2,Insulation failure,0:20:00,,,,
,30-Jun,9:27,30-Jun,9:56,MC2,Insulation failure,0:29:00,,,,
,30-Jun,13:24,30-Jun,13:26,MC2,Insulation failure,0:02:00,,,,
,30-Jun,13:24,30-Jun,13:27,MC6,Insulation failure,0:03:00,,,,
,30-Jun,13:42,30-Jun,13:45,MC2,Insulation failure,0:03:00,,,,
,1-Jul,7:17,1-Jul,7:39,MA1,Insulation failure,0:22:00,,,,
,1-Jul,7:44,1-Jul,7:53,MB1,Insulation failure,0:09:00,,,,
,1-Jul,8:28,1-Jul,8:29,MA2,Insulation failure,0:01:00,,,,
,4-Jul,7:21,4-Jul,7:46,MA2,Insulation failure,0:25:00,,,,
,4-Jul,7:21,4-Jul,7:55,MD4,Insulation failure,0:34:00,,,,
,4-Jul,8:36,4-Jul,8:37,MC2,Insulation failure,0:01:00,,,,
,4-Jul,8:39,4-Jul,9:00,MA2,Insulation failure,0:21:00,,,,
,4-Jul,8:49,4-Jul,8:50,MC2,Insulation failure,0:01:00,,,,
,4-Jul,10:38,4-Jul,10:50,MA2,Insulation failure,0:12:00,,,,
,4-Jul,11:44,4-Jul,11:45,MA2,Insulation failure,0:01:00,,,,
,4-Jul,12:07,4-Jul,12:09,MA2,Insulation failure,0:02:00,,,,
,5-Jul,7:18,5-Jul,7:37,MA2,Insulation failure,0:19:00,,,,
,5-Jul,8:51,5-Jul,8:53,MA2,Insulation failure,0:02:00,,,,
,5-Jul,17:28,5-Jul,17:56,MA2,Insulation failure,0:28:00,,,,
,5-Jul,17:33,5-Jul,18:01,MB1,Insulation failure,0:28:00,,,,
,5-Jul,18:18,5-Jul,19:17,MB1,Insulation failure,0:59:00,,,,
,5-Jul,18:22,5-Jul,18:51,MA1,Insulation failure,0:29:00,,,,
,6-Jul,7:15,6-Jul,7:36,MA2,Insulation failure,0:21:00,,,,
,6-Jul,7:15,6-Jul,7:28,MA5,Insulation failure,0:13:00,,,,
,6-Jul,7:15,6-Jul,7:26,MB1,Insulation failure,0:11:00,,,,
,6-Jul,8:00,6-Jul,8:28,MB1,Insulation failure,0:28:00,,,,
,7-Jul,7:18,7-Jul,7:46,MA1,Insulation failure,0:28:00,,,,
,7-Jul,7:37,7-Jul,8:19,MA1,Insulation failure,0:42:00,,,,
,7-Jul,8:38,7-Jul,9:06,MB2,Insulation failure,0:28:00,,,,
,10-Jul,7:41,10-Jul,8:09,MC6,Insulation failure,0:28:00,,,,
,10-Jul,8:09,10-Jul,8:17,MA5,Insulation failure,0:08:00,,,,
,10-Jul,8:17,10-Jul,8:24,MD3,Insulation failure,0:07:00,,,,
,10-Jul,8:21,10-Jul,8:25,MC3,Insulation failure,0:04:00,,,,
,10-Jul,8:32,10-Jul,8:34,MA5,Insulation failure,0:02:00,,,,
,10-Jul,8:33,10-Jul,8:35,MB4,Insulation failure,0:02:00,,,,
,10-Jul,8:35,10-Jul,8:36,MC3,Insulation failure,0:01:00,,,,
,10-Jul,8:47,10-Jul,8:53,MC3,Insulation failure,0:06:00,,,,
,10-Jul,8:56,10-Jul,9:25,MB4,Insulation failure,0:29:00,,,,
,10-Jul,9:00,10-Jul,9:28,MB1,Insulation failure,0:28:00,,,,
,10-Jul,9:00,10-Jul,9:29,MC6,Insulation failure,0:29:00,,,,
,10-Jul,9:17,10-Jul,9:45,MC3,Insulation failure,0:28:00,,,,
,10-Jul,9:27,10-Jul,9:56,MC4,Insulation failure,0:29:00,,,,
,10-Jul,9:40,10-Jul,10:08,MC6,Insulation failure,0:28:00,,,,
,10-Jul,10:12,10-Jul,10:13,MB4,Insulation failure,0:01:00,,,,
,10-Jul,10:42,10-Jul,11:32,MC2,Insulation failure,0:50:00,,,,
,10-Jul,11:48,10-Jul,12:04,MC4,Insulation failure,0:16:00,,,,
,11-Jul,7:53,11-Jul,8:22,MB1,Insulation failure,0:29:00,,,,
,11-Jul,8:51,11-Jul,9:11,MC6,Insulation failure,0:20:00,,,,
,11-Jul,9:27,11-Jul,9:31,MA3,Insulation failure,0:04:00,,,,
,11-Jul,9:46,11-Jul,10:15,MA3,Insulation failure,0:29:00,,,,
,11-Jul,10:29,11-Jul,10:48,MA3,Insulation failure,0:19:00,,,,
,11-Jul,15:46,11-Jul,15:47,MC6,Insulation failure,0:01:00,,,,
,11-Jul,15:51,11-Jul,15:54,MC6,Insulation failure,0:03:00,,,,
,11-Jul,15:56,11-Jul,16:02,MC6,Insulation failure,0:06:00,,,,
,11-Jul,16:04,11-Jul,16:12,MC6,Insulation failure,0:08:00,,,,
,11-Jul,16:14,11-Jul,16:16,MC6,Insulation failure,0:02:00,,,,
,12-Jul,7:16,12-Jul,7:42,MC4,Insulation failure,0:26:00,,,,
,12-Jul,7:19,12-Jul,7:47,MC6,Insulation failure,0:28:00,,,,
,12-Jul,8:50,12-Jul,8:57,MC6,Insulation failure,0:07:00,,,,
,12-Jul,9:08,12-Jul,9:32,MC6,Insulation failure,0:24:00,,,,
,12-Jul,12:05,12-Jul,12:07,MD3,Insulation failure,0:02:00,,,,
